galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J_new,log10_J_new,k_optimal,log10_k_optimal,chi2_reduced,mean_error,mean_error_pct
UGC06614,88.7,64.59,204.0,1.249251e+67,67.09664970575865,1e-45,-45.0,16.10573694298895,0.22241538889925094,22.241538889925096
UGC06628,15.1,7.69,42.3,5.508687e+64,64.74104809674533,1e-45,-45.0,0.9529017689672028,0.16092479133070192,16.092479133070192
UGC06667,18.0,7.85,85.7,1.063178e+64,64.02660598131179,4.154768070275495e-35,-34.38145321462617,69.69878958437349,0.505921314225422,50.592131422542195
UGC06786,29.3,34.05,211.0,2.626968e+66,66.41945478252795,1.902700383925639e-36,-35.72062959418923,404.52221773317126,0.31746587298046025,31.746587298046023
UGC06787,21.3,37.19,255.0,3.712815e+66,66.56970330999083,1.0927024477932562e-36,-35.961498084047044,430.6993699603257,0.31542334153471135,31.542334153471135
UGC06818,18.0,6.98,74.4,1.365199e+64,64.13519596148863,2.3511475215976297e-36,-35.62872012042597,12.950680953380695,0.34774081731428264,34.77408173142826
UGC06917,18.0,10.47,111.0,1.646672e+65,65.21660710082351,3.0635677680002285e-36,-35.51377250836515,29.773446019778785,0.22265425424520532,22.265425424520533
UGC06923,18.0,5.16,81.1,2.567347e+64,64.40948457143752,5.189612286957409e-36,-35.28486508683837,7.069940747418847,0.24775759323102173,24.77575932310217
UGC06930,18.0,16.61,108.0,4.280086e+65,65.63145249540341,2.0537787998064144e-36,-35.687446333473225,12.689753241973262,0.25089319566402246,25.089319566402246
UGC06973,18.0,7.85,180.0,1.97034e+66,66.29454117407178,1e-45,-45.0,390.5657917040523,0.3814720227134779,38.147202271347794
UGC06983,18.0,15.68,109.0,1.568942e+65,65.1956068890646,7.514211278721756e-36,-35.12411659794804,22.081902816293518,0.2655439314127264,26.55439314127264
UGC07089,18.0,9.16,79.1,6.148135e+64,64.78874339511778,5.492545939314612e-37,-36.26022630198007,5.788857781263348,0.1953120174638896,19.53120174638896
UGC07125,19.8,18.68,64.9,1.268012e+65,65.10312336356868,1.4966431957911968e-36,-35.82488172441899,24.866305874927985,0.2557789621838322,25.577896218383223
UGC07151,6.87,5.5,76.2,2.295342e+64,64.36084740344499,3.566042330065126e-36,-35.447813505915406,24.05213281482153,0.22681003012023362,22.681003012023364
UGC07232,2.83,0.82,44.0,1.154848e+62,62.062524826561216,1.7195608982655298e-34,-33.76458243902641,4.769874591096658,0.23113860914190149,23.11386091419015
UGC07261,13.1,6.67,76.1,1.592197e+64,64.20199680129102,1.4003347540879834e-35,-34.853768132554016,6.0074685775582,0.1826963237292421,18.26963237292421
UGC07323,8.0,5.82,85.6,5.522649e+64,64.74214744188252,4.77869986281354e-37,-36.32069024548197,6.4652785112314906,0.13537291616204855,13.537291616204856
UGC07399,8.43,6.13,106.0,9.481595e+63,63.97688140078028,5.328216069485842e-35,-34.2734181719979,74.66377598595949,0.32855532188122183,32.85553218812218
UGC07524,4.74,10.69,79.0,7.042742e+64,64.84774177897467,2.4011140816098466e-36,-35.61958720527549,43.23678649969634,0.40562843385527036,40.56284338552704
UGC07559,4.97,2.53,32.1,3.98339e+62,62.60025282876841,2.6671561072141533e-35,-34.57395156454349,3.2508130453662742,0.27075811627659657,27.075811627659657
UGC07577,2.59,1.69,17.8,5.096098e+61,61.70723777106395,1e-45,-45.0,0.31007120925468656,0.1496998243217903,14.96998243217903
UGC07603,4.7,4.11,64.0,9.775412e+62,62.9901350704726,1.4622882253474837e-34,-33.83496701702192,38.023551877198784,0.3869611484752061,38.696114847520604
UGC07608,8.21,4.78,69.3,2.701686e+63,63.43163487229828,5.533322133917267e-35,-34.25701404568856,10.242278619875597,0.5615488314699066,56.15488314699066
UGC07690,8.11,4.13,55.9,4.908594e+63,63.69095711218716,2.0053260095662316e-35,-34.697815013245176,3.6431915122447878,0.130676453275101,13.0676453275101
